id_cliente,DataNascimento,CPF,Nome,Email,Rua,Bairro,Cidade,Estado,CEP,funcional
C00025,1968-02-09,41285790332,Sophia Castro,maite13@vieira.org,Trevo Araújo,Madre Gertrudes,Rocha,BA,93890577,F0007
C00026,1994-02-17,89642137500,Dra. Maria Luiza Mendes,da-pazbarbara@uol.com.br,Distrito Maria Luiza Barros,Alto Das Antenas,da Rocha da Mata,MG,49819958,F0085
C00027,1994-09-15,70123596416,Raul Martins,henriquebarbosa@cardoso.com,Rua Ana Laura Cardoso,Lajedo,da Rosa,PE,29572546,F0098
C00028,2006-08-28,74160289304,Pedro Henrique Moura,vieiraana-julia@cardoso.com,Rodovia Isis Costela,Fazendinha,Pereira do Oeste,MG,02723257,F0071
C00029,1985-02-08,07483915250,Sra. Mariane Farias,oda-luz@hotmail.com,Vale de Rodrigues,Paulo Vi,Almeida,DF,89851938,F0021
C00030,1971-12-20,12547693828,Isabelly Nunes,nascimentomaria-luiza@ramos.com,Favela de Sales,Andiroba,Gomes das Flores,CE,27115002,F0014
C00031,2006-03-14,57306189212,Daniel Azevedo,goncalvesthiago@yahoo.com.br,Favela Vieira,Dona Clara,Correia,DF,38969954,F0087
C00032,1965-07-25,56703942838,Lorenzo Pinto,pedro-lucas96@nogueira.com,Via de Cardoso,Vila Santa Monica 1ª Seção,Ribeiro,RJ,79304488,F0081
C00033,1991-09-30,60954281306,Ana Laura Caldeira,aalves@duarte.br,Trevo Pires,Ribeiro De Abreu,Moura de Goiás,CE,19826453,F0024
C00034,1982-03-04,25698430756,Carlos Eduardo Novaes,erick89@gomes.com,Estrada de Nascimento,Madre Gertrudes,da Conceição da Prata,PE,54328132,F0099
C00035,1951-08-14,15240687994,Alícia Lopes,vcaldeira@uol.com.br,Estação Mirella da Rosa,São João Batista,Lima,PR,93848794,F0052
C00036,2003-06-19,35924761819,Isabella Lima,pintobruna@gmail.com,Recanto Daniel Cardoso,Estrela,Costa,SC,76693613,F0042
C00037,2002-08-15,89621534755,Thales Porto,lda-paz@vieira.com,Via Juliana Melo,Novo Santa Cecilia,Pinto,PE,32411497,F0047
C00038,1992-06-17,47301952643,Enzo Gabriel Ramos,otaviogoncalves@uol.com.br,Travessa Gustavo Henrique da Mata,Vila Canto Do Sabiá,da Mota de da Mata,PE,03717901,F0030
C00039,1961-11-27,36715890277,Breno Araújo,yasminbarbosa@cardoso.br,Via de Freitas,Vista Alegre,Castro das Flores,CE,39333876,F0034
C00040,1955-12-24,18967042558,Agatha Pinto,pedrodias@gomes.com,Conjunto Mariane Nascimento,Aparecida,Freitas,SC,41300373,F0098
C00041,1972-04-22,08563791230,Kevin Lima,vitor-hugo56@caldeira.com,Conjunto Barros,Lorena,Castro das Flores,RJ,71845739,F0001
C00042,1996-11-29,75160283986,Luigi Pinto,nataliafarias@uol.com.br,Chácara Ana Vitória Viana,Nazare,Costa do Amparo,BA,86160435,F0070
C00043,1990-12-23,56942730874,Rodrigo da Luz,ymartins@bol.com.br,Via Almeida,Independência,Souza do Amparo,PR,50727248,F0094
C00044,1961-11-21,63520781921,Maitê Nogueira,freitasvitoria@martins.com,Campo Sales,São Gonçalo,Aragão de Costela,BA,39437691,F0012
C00045,2004-05-07,54708963157,Rodrigo Alves,ninacosta@yahoo.com.br,Área Barbosa,Vila Jardim Montanhes,Ribeiro das Pedras,CE,54127904,F0058
C00046,1994-04-15,38024596792,Ana Carolina Martins,ramosclarice@almeida.br,Fazenda Novaes,Mariano De Abreu,da Costa,BA,30617769,F0067
C00047,1954-06-02,06589234124,Thiago Melo,luana15@costa.org,Ladeira Stephany Carvalho,Palmares,Cardoso,DF,58629719,F0049
C00048,1977-10-28,51289076359,Ana Beatriz Dias,aliciavieira@hotmail.com,Rodovia de Rocha,União,Moreira dos Dourados,PE,98408355,F0083
C00049,1994-03-17,98025761312,Nicolas Castro,melissamartins@das.com,Rua Ana Carolina da Cruz,Vila Pilar,da Rocha do Sul,BA,61948482,F0076
C00050,1951-04-03,18623054989,João Pedro Peixoto,duartevinicius@ig.com.br,Jardim Viana,Alípio De Melo,da Mata do Sul,RS,87048684,F0080
C00051,1998-07-19,03126875408,Lavínia Vieira,noahda-cruz@yahoo.com.br,Estrada Fogaça,Marieta 2ª Seção,da Mota do Oeste,SC,70755467,F0011
C00052,1961-04-29,87241693582,Leonardo Moura,duarteotavio@vieira.br,Trevo de das Neves,Buritis,Cardoso de das Neves,PE,91022388,F0060
C00053,1958-04-06,10987453297,Isabel Costela,lgoncalves@castro.com,Praia Pereira,João Alfredo,Vieira,SC,97562040,F0088
C00054,1971-02-17,12670943543,Pedro Alves,ffogaca@ig.com.br,Estrada Maria Eduarda Cardoso,Leticia,Barros,SC,29317780,F0071
C00055,1955-10-19,49267310887,Maitê Cavalcanti,pedro-henrique71@uol.com.br,Setor Monteiro,Piraja,Pires de Barros,RJ,03609826,F0010
C00056,2003-09-17,62893741096,Noah Castro,csilveira@ig.com.br,Colônia Caroline da Rocha,Vila Da Luz,Fernandes,RS,90362711,F0009
C00057,1983-02-05,38510492689,Marcos Vinicius Novaes,eduardateixeira@monteiro.org,Recanto Levi Aragão,Cenaculo,Rocha Alegre,MG,42919013,F0069
C00058,2000-11-20,27940836510,Stephany Campos,joao-lucas66@bol.com.br,Praça Alice da Cruz,Zilah Sposito,Ribeiro,PR,95733551,F0041
C00059,1960-02-12,85321790450,Carlos Eduardo Costa,fogacayago@yahoo.com.br,Passarela Alves,Bernadete,Pereira,RS,22545128,F0016
C00060,1958-09-07,96720435116,Ana Sophia Nunes,giovannaferreira@bol.com.br,Setor Barbosa,Lorena,Barbosa,RJ,99306824,F0031
C00061,1959-11-28,90751362425,André Vieira,cardosobarbara@ig.com.br,Vila Moreira,Vila Dos Anjos,Monteiro,MG,86191601,F0050
C00062,2004-05-19,59173420832,Samuel Duarte,tfreitas@hotmail.com,Rua das Neves,Santa Lúcia,da Luz do Galho,SC,18249349,F0093
C00063,1966-03-27,57193624873,Gustavo Henrique Carvalho,santosbruno@da.net,Núcleo Melo,Buraco Quente,Azevedo,SP,28375338,F0029
C00064,1999-07-20,70296314552,Joaquim Cardoso,fernandobarbosa@hotmail.com,Passarela Lopes,Beija Flor,Costela de Mendes,PE,75522714,F0064
C00065,1980-10-19,20516987321,Kaique da Rocha,caio96@bol.com.br,Praia de da Mata,Santa Margarida,da Mota do Sul,SP,37621987,F0072
C00066,1954-03-18,68140957267,Vitória Cardoso,kmoreira@cavalcanti.net,Aeroporto de Duarte,Vila Santo Antônio,Gonçalves do Norte,MG,10202461,F0002
C00067,2007-03-10,01426375808,Joana Souza,gcampos@melo.br,Rodovia Lima,Vila Inestan,da Rosa da Mata,SP,38635341,F0022
C00068,1992-10-28,98725630121,Thomas Melo,hnogueira@hotmail.com,Viaduto de Cavalcanti,São Pedro,Barbosa,RJ,39270153,F0004
C00069,1977-02-16,06792318540,Nicole Cardoso,fariasjoao@ig.com.br,Aeroporto Alice Silva,Conjunto Providencia,Cardoso de da Rocha,RJ,82435224,F0063
C00070,1955-02-02,30972158677,Leandro Freitas,tmelo@moraes.com,Recanto Fernando Vieira,Vila Antena,Castro,MG,56098498,F0004
C00071,1999-11-18,18694570211,Samuel da Cunha,luiz-fernando56@da.org,Travessa Porto,Custodinha,da Mata,CE,20979209,F0096
C00072,2003-01-06,02854731905,Maysa Nogueira,silveirajoao-pedro@ig.com.br,Quadra Lima,Heliopolis,da Paz de Gomes,RJ,57708207,F0010
C00073,2001-02-16,34086529700,Sr. Diogo da Paz,caroline61@monteiro.net,Passarela Luiz Henrique da Conceição,Jardim Felicidade,Ribeiro,SP,67752821,F0072
C00074,1962-06-01,94718360501,Lívia Dias,ana-carolinacampos@barbosa.net,Feira de Nogueira,Paraíso,Pires de Campos,SC,64723012,F0048
C00075,2007-05-30,43165708207,Otávio Silveira,slima@moraes.br,Alameda Eduardo Azevedo,Vila Califórnia,Araújo,SP,43136189,F0094
C00076,2003-09-29,62945870185,Pedro Henrique da Cruz,hda-rosa@uol.com.br,Avenida de Gonçalves,Santo Antônio,Carvalho do Amparo,RJ,46132126,F0094
C00077,1995-04-24,43075961884,Theo Castro,sofiafernandes@gomes.org,Condomínio Gabriel Moraes,Antonio Ribeiro De Abreu 1ª Seção,Almeida da Serra,RS,97182623,F0050
C00078,1962-04-28,38690145206,Lucca Pinto,kfernandes@yahoo.com.br,Setor de Correia,Califórnia,Caldeira de da Mata,SP,65123978,F0012
C00079,1978-10-25,27340816526,Marcos Vinicius Barros,peixotodavi-lucca@freitas.com,Chácara Lucca Moreira,Vila Real 2ª Seção,Correia do Campo,PE,65644280,F0040
C00080,1971-07-08,46087392556,Pietra Costela,moreiraluiz-henrique@uol.com.br,Passarela de Souza,Parque São José,Cardoso,RS,88656289,F0065
C00081,2006-03-27,29564017343,Luiz Henrique Moreira,mendesdaniel@bol.com.br,Trecho de Porto,Vila Cemig,Rezende,CE,18639777,F0001
C00082,2006-04-26,12743806508,Larissa Mendes,fernando74@carvalho.br,Fazenda de das Neves,São Vicente,Carvalho dos Dourados,DF,38656242,F0092
C00083,1968-12-15,28149653791,Gustavo Henrique Porto,salesfernando@ig.com.br,Lago Lucas da Costa,Boa União 2ª Seção,Teixeira de Minas,RS,55747769,F0083
C00084,1950-02-03,70869354175,Caio Cardoso,bviana@barros.com,Vila Felipe Ribeiro,Biquinhas,Nunes,RJ,59454075,F0012
C00085,1953-01-04,87629510330,Vitória Monteiro,barbosastephany@da.com,Conjunto Lara Fogaça,Parque São Pedro,Campos de Melo,PE,06054652,F0096
C00086,1970-07-04,78341096501,Luiz Felipe Cardoso,nataliafogaca@ig.com.br,Área de Teixeira,Paulo Vi,Teixeira Paulista,PR,18927775,F0086
C00087,1976-09-17,50976832186,Luigi Ribeiro,catarinacosta@gmail.com,Vale de da Paz,Leonina,Santos,SP,52555585,F0012
C00088,1968-01-31,81759364010,Clarice Rezende,correiamarcos-vinicius@sales.br,Jardim Renan Dias,Manacas,Costa,SC,72845577,F0011
C00089,1975-01-21,98640573247,Emanuel Lopes,luiza91@nunes.br,Feira Pereira,Conjunto Jatoba,Teixeira,RS,32788469,F0015
C00090,1997-01-24,45807639200,Camila Azevedo,thiago65@da.org,Aeroporto Raquel Sales,Conjunto Califórnia I,Viana Alegre,DF,23040092,F0013
C00091,1953-10-26,04627981511,Isabella Moura,bryan33@yahoo.com.br,Viela Gomes,Solimoes,Fernandes,DF,22237548,F0030
C00092,1957-11-19,34581729637,Pietro Lopes,souzaarthur@ig.com.br,Parque de Araújo,Santo Antônio,Porto da Serra,RS,21816089,F0094
C00093,1972-08-11,84510729332,Stephany Lima,fernandesbianca@ribeiro.com,Travessa da Costa,Vila Da Paz,Souza,RJ,50840933,F0093
C00094,1965-05-30,06782954176,Nina Caldeira,thomasrocha@hotmail.com,Alameda Cardoso,São Pedro,da Costa das Pedras,RS,19030135,F0022
C00095,1997-02-01,67840239510,Lívia Castro,cavalcantivalentina@moreira.com,Distrito de Azevedo,Vila Nova Gameleira 3ª Seção,das Neves de Minas,PR,95235919,F0060
C00096,1978-07-02,60375281959,Dr. Paulo Barros,lmoura@gmail.com,Quadra de Fogaça,Mangueiras,Nascimento,SC,73896911,F0093
C00097,1955-08-08,51732869464,Dra. Giovanna Pereira,carolina51@silveira.net,Vale Carolina Cardoso,São Gabriel,Sales,SP,08848999,F0005
C00098,1955-11-25,69748512002,Dr. Francisco Viana,pcardoso@castro.com,Área Ferreira,Vila Santo Antônio,Azevedo Grande,MG,72271584,F0094
C00099,1988-06-29,03296548106,Sofia da Cunha,caua04@dias.com,Alameda de Campos,Jardim Do Vale,Santos Grande,SC,38366960,F0023
C00100,1972-03-10,83702456171,Lavínia das Neves,hcardoso@barbosa.org,Recanto Vitor Gabriel da Mota,São José,Silva,RS,51598244,F0005
C00101,1958-02-06,02476319813,Srta. Larissa Alves,rochagabriela@ramos.net,Praia de Porto,Fernão Dias,Carvalho do Campo,RJ,96195476,F0009
C00102,1972-06-07,02748196511,João Lucas Ribeiro,daniela68@barros.com,Núcleo Nicolas da Costa,Lajedo,Campos,SC,47312008,F0093
C00103,2006-11-23,54719826067,Luiz Felipe Teixeira,pedro-miguel56@rezende.br,Largo Viana,Vila Boa Vista,Carvalho,SC,08417381,F0090
C00104,1996-01-10,17832650435,Dra. Clara da Conceição,monteirofernando@yahoo.com.br,Trevo Guilherme Mendes,Urca,Pereira,PR,54722865,F0079
C00105,1978-12-01,27915680340,João Vitor Correia,alvesmarcelo@hotmail.com,Residencial Silveira,Santa Amelia,Costela,RS,33881568,F0088
C00106,1999-08-14,03192785497,Dra. Júlia Jesus,yfreitas@moreira.com,Trevo de da Cruz,Liberdade,da Mota,BA,53789607,F0002
C00107,1977-07-16,39820715695,Isis da Rocha,raquel09@yahoo.com.br,Distrito Cardoso,Lindéia,das Neves,RJ,03068337,F0074
C00108,1953-10-25,14395078648,Samuel Gomes,zmonteiro@yahoo.com.br,Favela Aragão,Candelaria,Ramos,SC,21148397,F0016
C00109,1999-12-08,06231549860,Luiza Monteiro,lnunes@moraes.com,Lagoa Luna Freitas,Chácara Leonina,Sales,PR,82469748,F0034
C00110,1995-06-27,94236051842,Lívia Silva,emanuella15@duarte.br,Pátio Barbosa,Vila Nossa Senhora Do Rosário,Silva,PR,36413931,F0035
C00111,1999-10-29,30517924625,Renan Oliveira,diego29@cardoso.com,Ladeira Agatha Duarte,Grajaú,Gonçalves de Cardoso,BA,85711075,F0050
C00112,2002-09-01,71085346226,Kamilly Freitas,maria-eduarda34@bol.com.br,Aeroporto Benício Santos,Guaratã,Melo do Oeste,RS,41121061,F0034
C00113,1955-02-05,19304567866,Isabella Silveira,heitor08@uol.com.br,Praça Lara Lopes,Bom Jesus,Gonçalves,PR,09396682,F0072
C00114,2007-03-03,40857261967,Alice Novaes,hvieira@uol.com.br,Pátio Pedro Miguel Castro,Vila Suzana Segunda Seção,Sales,CE,46376719,F0056
C00115,1994-09-09,94372856083,Alexia Costa,benjamin66@gmail.com,Esplanada Ana Beatriz Alves,São Paulo,Cunha,PE,03976028,F0058
C00116,1973-02-25,25013968470,Julia Nunes,pietro92@gmail.com,Alameda Vitória Souza,Santa Monica,Azevedo,CE,16308485,F0092
C00117,1986-11-26,91472860594,Dr. João Lucas Teixeira,ana37@hotmail.com,Via da Luz,Nossa Senhora Da Conceição,Nogueira,DF,83433958,F0071
C00118,1977-09-02,06918725467,Sr. Alexandre da Cunha,lorena42@almeida.org,Fazenda Sales,Ermelinda,Porto de Almeida,PR,41346240,F0038
C00119,1975-08-19,73612589482,Helena Correia,qda-cunha@bol.com.br,Praça de Peixoto,Santa Efigênia,Lima Paulista,RJ,34901599,F0059
C00120,2002-08-19,01482359642,Stella da Conceição,goncalvesleticia@gmail.com,Aeroporto Rebeca Gonçalves,Conjunto Novo Dom Bosco,Correia,MG,61064642,F0069
C00121,2005-08-09,87931540620,Camila Barbosa,elisa11@caldeira.br,Quadra de Teixeira,Cruzeiro,Pires dos Dourados,RJ,53988480,F0045
C00122,1996-03-18,20483956198,Henrique Sales,salesbianca@bol.com.br,Morro de Lima,Vila Santa Monica 1ª Seção,Cunha,DF,82542001,F0067
C00123,1990-02-19,83905647184,Dra. Sofia Alves,obarbosa@hotmail.com,Travessa Isis da Conceição,Marmiteiros,Alves do Amparo,SP,10276549,F0079
C00124,1973-03-27,73861542080,Sra. Maria Vitória Alves,marina22@yahoo.com.br,Pátio de Jesus,Buraco Quente,Porto,RS,01447898,F0042
C00125,1995-05-27,96415038206,Francisco Almeida,eduarda75@porto.br,Feira Sarah Moreira,Vila Nova Cachoeirinha 3ª Seção,da Mota,PE,03509559,F0012
C00126,1978-12-23,83546107993,Sr. Luiz Miguel Rocha,bmartins@rodrigues.net,Vale Caroline Santos,Céu Azul,Nascimento,MG,48537418,F0087
C00127,1999-04-16,62857904185,Levi Souza,marcos-viniciusrodrigues@hotmail.com,Ladeira Olivia Jesus,Pindura Saia,Fogaça,BA,89906349,F0006
C00128,1986-11-10,32187469069,Kaique Cardoso,qda-costa@martins.br,Lago Jesus,São Gonçalo,Barros,PR,70722585,F0016
C00129,1959-02-07,19037685439,Srta. Natália Lima,kfogaca@teixeira.com,Distrito Santos,Nova America,Novaes da Prata,DF,68305358,F0033
C00130,1993-12-28,86317054975,Luiz Miguel Costa,gda-mata@bol.com.br,Vila Sabrina Santos,Parque São José,Jesus de Minas,PE,94490974,F0025
C00131,2004-05-08,83179524600,Melissa Gonçalves,joao-vitor13@uol.com.br,Chácara Danilo Campos,Heliopolis,Barbosa das Flores,BA,81607693,F0053
C00132,1987-12-04,84629075194,Sr. Kaique da Mata,matheus31@ig.com.br,Trecho de Lopes,Conjunto Jatoba,Nunes,PE,90293925,F0074
C00133,2006-11-11,50194723607,Sra. Maria Luiza Caldeira,costadavi-lucas@moura.br,Viela da Cunha,Vila Vista Alegre,Peixoto,BA,46101709,F0003
C00134,1971-01-05,52430687135,Miguel Barbosa,stephanymoura@porto.net,Conjunto da Conceição,Araguaia,da Luz,PE,76261516,F0029
C00135,1994-10-13,07639152461,Murilo da Paz,alexandre86@uol.com.br,Sítio da Mata,Novo Das Industrias,Pereira dos Dourados,MG,84984006,F0021
C00136,1979-12-20,54936210889,Kevin Novaes,eloah53@ig.com.br,Ladeira de Costela,Serra,Melo,DF,57711970,F0032
C00137,1958-03-23,29675831464,Danilo Castro,joao-vitormoura@cardoso.com,Ladeira de Caldeira,Castelo,Lopes das Pedras,DF,39314288,F0063
C00138,1998-02-12,21359064761,Carlos Eduardo Caldeira,nsouza@hotmail.com,Sítio de Souza,Aguas Claras,da Rosa da Mata,SP,96972723,F0025
C00139,1957-02-27,68907231559,Sr. Luigi Barbosa,fogacakevin@ig.com.br,Praça Oliveira,Bom Jesus,Martins,MG,64639454,F0064
C00140,1977-12-28,71089352441,Cauê da Rosa,bianca94@uol.com.br,Setor Rezende,Marieta 1ª Seção,Santos,BA,05609929,F0093
C00141,1981-02-03,24670589130,Sr. Vitor Duarte,otavio22@ig.com.br,Lagoa Jesus,Nossa Senhora Do Rosário,Campos do Sul,PR,85657086,F0093
C00142,1996-04-26,76340915299,Juan Jesus,ifogaca@cardoso.br,Vila da Cruz,Vila Minaslandia,Santos de Goiás,RJ,26306471,F0090
C00143,1985-11-28,46159870211,Lorenzo Monteiro,ana-clara71@hotmail.com,Loteamento de da Mata,São João,Freitas,BA,26180584,F0063
C00144,1957-10-22,90613478231,Erick Azevedo,nathansouza@carvalho.net,Favela Monteiro,Grotinha,Duarte,MG,92871135,F0074
C00145,2004-12-09,96043817500,Juliana Gomes,oliveiraleonardo@bol.com.br,Distrito João Miguel Rodrigues,Bernadete,da Costa,SC,34306623,F0002
C00146,1984-02-24,72063419507,Larissa Correia,vitor-gabriel53@ig.com.br,Passarela de da Paz,Camponesa 1ª Seção,Vieira de Lima,CE,89236504,F0082
C00147,1967-04-02,71058692321,Dr. Murilo da Paz,rnogueira@peixoto.net,Vila de Martins,Tres Marias,Santos de Vieira,PE,14894178,F0063
C00148,2000-11-21,21309654743,Srta. Emanuelly Azevedo,martinsesther@sales.net,Lagoa Raquel Costa,Mariano De Abreu,Alves,SP,05405826,F0068
C00149,1986-09-25,71598046357,Marina Pinto,julianada-costa@ig.com.br,Lagoa Monteiro,Corumbiara,Moura de Minas,DF,99398259,F0004
C00150,1976-02-09,12630945707,Alice da Rosa,hmonteiro@bol.com.br,Rodovia de Nunes,Vila São Gabriel,Sales de Pereira,PR,90430792,F0010
C00151,1978-10-20,47096325883,Erick Costa,wcastro@uol.com.br,Aeroporto Beatriz Martins,Gutierrez,Duarte,PE,34370389,F0051
C00152,2003-09-24,80621957321,Alice da Mota,rodriguespedro-lucas@jesus.br,Lagoa Vieira,Independência,Aragão,MG,21774055,F0061
C00153,2006-10-25,01385974648,Henrique Correia,ferreiraluiz-henrique@costela.com,Largo Viana,Lagoinha Leblon,Pereira de da Paz,DF,03586176,F0018
C00154,1958-04-28,98150267395,Ian Nogueira,qcosta@uol.com.br,Via Ribeiro,Vila Sesc,Souza da Prata,RS,75028851,F0055
C00155,1996-01-16,42817659309,Heloísa Mendes,bianca55@bol.com.br,Colônia Cavalcanti,Horto,Melo de Fogaça,SP,13890386,F0030
C00156,1951-04-10,63582047180,Alice Silveira,da-motamaria-sophia@gmail.com,Largo da Cunha,Indaiá,Moura da Prata,RJ,49129939,F0100
C00157,1964-04-20,18247693003,Luiz Miguel Carvalho,thiago48@rocha.br,Favela Maria Duarte,Nossa Senhora De Fátima,Caldeira,RJ,49746288,F0041
C00158,1988-06-07,05673814208,Luiz Fernando Teixeira,claraazevedo@viana.br,Campo Rafaela da Costa,Pirineus,Ferreira de Jesus,DF,19911153,F0085
C00159,1969-05-24,63847092103,Larissa da Cruz,giovannada-rocha@costela.com,Esplanada Enzo Farias,Europa,Castro,BA,56451989,F0058
C00160,1968-11-10,69327815491,Clara Silva,pedro-miguelferreira@gmail.com,Alameda de Almeida,Serra Verde,Pereira da Prata,CE,59705342,F0036
C00161,1969-04-23,25608314735,Srta. Stephany Sales,laiscunha@carvalho.net,Ladeira de da Mota,Salgado Filho,Alves da Praia,DF,30216821,F0026
C00162,1966-03-03,90251784304,Lucca da Costa,vpires@dias.org,Setor Vitória da Rosa,Vista Alegre,das Neves,RJ,31160284,F0053
C00163,2000-09-16,03216795802,Stella Carvalho,carolinabarros@gmail.com,Distrito de Castro,Itapoa,Duarte,MG,51084863,F0051
C00164,1994-10-18,42915386005,Sophie Barros,isabelly52@hotmail.com,Distrito Rodrigues,Indaiá,Novaes,MG,62035885,F0016
C00165,2000-07-16,95870364175,Yuri Pinto,camposgustavo@ig.com.br,Trevo Mendes,Colégio Batista,da Mota do Sul,DF,68272728,F0091
C00166,1968-03-18,70391562452,Theo Costela,camposthales@carvalho.br,Núcleo Paulo Rezende,Tiradentes,da Rosa das Flores,SP,37880143,F0022
C00167,1998-04-20,86790521321,Joana Rezende,bernardopinto@ig.com.br,Favela da Cunha,Dom Bosco,Oliveira Grande,RJ,60166650,F0071
C00168,2003-07-14,91687243069,Dra. Melissa Barbosa,qpinto@moura.com,Conjunto de Gomes,Boa União 1ª Seção,Ramos,RS,16975146,F0061
C00169,2003-03-30,67435018244,Leandro Fogaça,fariasdaniela@pinto.com,Lago Ian Oliveira,Garças,Oliveira Grande,SP,37978272,F0013
C00170,1965-04-30,79251340897,Luiz Henrique Viana,ana-sophia42@ig.com.br,Aeroporto Marina Nunes,Betânia,das Neves de Minas,SP,71941385,F0096
C00171,1965-12-25,13280459788,Felipe Araújo,costelaana-laura@hotmail.com,Área Carvalho,Vitoria Da Conquista,Sales,PE,15191230,F0066
C00172,1997-06-17,26341857071,Pedro Miguel da Mata,luiz-otaviolima@hotmail.com,Quadra Rodrigues,Goiania,Viana de Minas,PR,54898214,F0043
C00173,1997-02-28,95068341720,Breno Nascimento,rda-rosa@yahoo.com.br,Núcleo Moura,Esplanada,Mendes,MG,62870540,F0007
C00174,1954-07-17,70536198420,Gustavo Henrique Oliveira,klopes@da.br,Quadra Lopes,São Jorge 1ª Seção,da Cunha,SP,88469151,F0017
C00175,1965-06-27,17538409610,Dr. Joaquim Porto,vieiralorenzo@da.org,Quadra Silva,Varzea Da Palma,Ramos,PR,70853619,F0021
C00176,1985-11-19,70916823431,Isabella Cardoso,limaigor@ferreira.net,Travessa de da Paz,São Luiz,Pinto de Ferreira,BA,28109663,F0067
C00177,2000-06-22,98341765209,Dr. Kaique Santos,nunesana-julia@rezende.com,Sítio Lima,Minas Caixa,da Cruz,RS,43225449,F0100
C00178,1995-05-19,58297630447,Dra. Isadora Silveira,sophiamoraes@mendes.br,Estação Leonardo Novaes,Céu Azul,da Conceição de Rodrigues,PE,90509511,F0056
C00179,1977-10-08,51964782309,Antônio da Luz,nicole44@fernandes.br,Lagoa Silva,Marieta 1ª Seção,Nunes Grande,SP,62212413,F0005
