num_conta,TipoConta,Saldo,DataAbertura
AC16604305,Conta PJ,17427.47,2023-11-03
AC56023115,Conta Corrente,6399.31,2023-06-18
AC44222037,Conta Corrente,8292.68,2022-02-04
AC10589470,Conta Corrente,6038.8,2022-05-03
AC35721897,Conta Corrente,18725.2,2023-07-04
AC93071864,Conta Pagamento,11378.0,2023-09-20
AC40627391,Conta Digital,8554.01,2022-06-17
AC33377184,Conta Corrente,10266.06,2023-10-03
AC51384611,Conta Corrente,7377.5,2022-03-03
AC42949415,Conta PJ,3006.96,2023-04-11
AC70663554,Conta Digital,6371.11,2022-04-05
AC90485097,Conta Corrente,15894.9,2023-09-20
AC67697579,Conta Digital,9886.67,2022-01-05
AC25048245,Conta Corrente,7810.11,2023-08-24
AC38613605,Conta Corrente,12610.17,2023-02-28
AC17197688,Conta Pagamento,6251.83,2023-01-03
AC93022905,Conta PJ,6985.33,2022-10-24
AC15038353,Conta Corrente,8321.0,2023-06-14
AC41749196,Conta Corrente,13226.99,2023-09-08
AC49774861,Conta Digital,3216.78,2022-04-20
AC14888202,Conta Corrente,15088.04,2023-09-09
AC10799032,Conta Corrente,7069.52,2023-11-06
AC35417762,Conta Digital,2950.73,2022-03-10
AC41460775,Conta Corrente,3125.75,2022-05-03
AC71741274,Conta Corrente,2496.95,2021-08-22
AC13658768,Conta Pagamento,7803.56,2023-10-10
AC40458815,Conta Pagamento,1949.03,2021-11-20
AC66812486,Conta Corrente,5586.19,2022-01-02
AC34365042,Conta Digital,2338.46,2022-04-03
AC93842367,Conta Corrente,5460.35,2022-06-02
AC18969260,Conta Corrente,3727.42,2023-08-14
AC48871767,Conta Corrente,1545.74,2021-02-23
AC75655645,Conta Corrente,1648.7,2021-05-18
AC65836737,Conta Corrente,1463.09,2021-01-18
AC30706086,Conta Pagamento,15263.67,2023-03-25
AC10861171,Conta Corrente,6874.32,2022-12-07
AC26010131,Conta Corrente,7358.05,2022-03-03
AC48538279,Conta Digital,7132.99,2022-12-11
AC85808781,Conta PJ,2587.59,2021-04-28
AC64271138,Conta Pagamento,2034.12,2022-03-23
AC62495561,Conta Digital,1785.0,2021-08-01
AC65256176,Conta PJ,368.37,2021-06-13
AC20074487,Conta Digital,6139.27,2022-06-12
AC39047764,Conta Corrente,2518.18,2021-09-27
AC32762227,Conta Corrente,8818.89,2022-03-26
AC97073753,Conta Digital,5814.32,2022-04-23
AC42113650,Conta PJ,13291.0,2023-06-03
AC65630687,Conta Pagamento,1516.18,2022-10-23
AC92131207,Conta Pagamento,4861.13,2023-10-24
AC65055088,Conta Corrente,7776.45,2022-09-02
AC88581774,Conta Pagamento,3531.8,2022-12-09
AC80531269,Conta Digital,4773.06,2022-08-17
AC16694520,Conta Corrente,2058.59,2021-11-17
AC19170286,Conta Pagamento,3060.56,2022-02-07
AC92607322,Conta Corrente,2718.35,2021-12-13
AC85540423,Conta Corrente,4427.73,2022-09-28
AC71872701,Conta Pagamento,4770.28,2023-07-06
AC76263448,Conta Pagamento,8830.08,2022-12-04
AC77233189,Conta Pagamento,6428.28,2023-03-27
AC61083947,Conta Corrente,2076.64,2022-02-12
AC16654735,Conta Corrente,635.46,2022-03-26
AC40530369,Conta Digital,1308.1,2023-04-11
AC46349860,Conta PJ,7560.43,2023-11-04
AC46409856,Conta Pagamento,5280.71,2022-01-27
AC49833924,Conta Corrente,133.54,2021-07-26
AC12829849,Conta Corrente,5752.09,2023-02-27
AC58991823,Conta Digital,5274.57,2022-12-11
AC60563738,Conta Pagamento,1818.21,2021-09-14
AC88343575,Conta Corrente,7011.9,2023-04-07
AC88075095,Conta Corrente,1785.0,2023-11-26
AC34660696,Conta PJ,2670.78,2022-01-01
AC73202800,Conta Corrente,553.88,2021-03-12
AC11482739,Conta Digital,7883.26,2022-03-14
AC62750404,Conta PJ,7223.23,2022-12-14
AC76159950,Conta Pagamento,3151.06,2022-05-14
AC22613213,Conta Corrente,2813.12,2021-11-20
AC10995820,Conta Corrente,9102.52,2022-12-22
AC52779345,Conta Corrente,1512.86,2022-08-19
AC94380756,Conta Corrente,8272.94,2022-07-28
AC22075453,Conta Corrente,1057.03,2022-01-15
AC28502510,Conta Corrente,7644.37,2022-01-11
AC63432336,Conta Pagamento,16070.6,2023-05-22
AC88175954,Conta PJ,2056.27,2021-01-17
AC79942005,Conta Pagamento,4042.39,2022-10-26
AC37016054,Conta Pagamento,9690.61,2022-11-19
AC48561459,Conta Corrente,13417.31,2023-05-04
AC55237120,Conta Digital,327.88,2021-12-24
AC67462645,Conta Corrente,70.01,2021-11-21
AC13848841,Conta Corrente,2487.23,2021-03-04
AC61645498,Conta Corrente,3459.7,2022-02-14
AC77265357,Conta Corrente,1017.76,2021-07-20
AC77226198,Conta Digital,5822.94,2022-10-06
AC26419894,Conta Corrente,4172.35,2022-11-06
AC19317148,Conta PJ,1232.53,2023-07-24
AC55301931,Conta Corrente,6148.14,2022-05-18
AC25178221,Conta Digital,7402.14,2023-07-23
AC26558377,Conta Digital,3606.71,2022-02-21
AC88685826,Conta PJ,13894.42,2023-03-17
AC65753971,Conta Digital,6363.89,2022-06-10
AC77090189,Conta Pagamento,16523.62,2023-04-26
AC63010503,Conta Pagamento,5030.62,2022-11-28
AC54920836,Conta Digital,4965.35,2023-09-09
AC38317943,Conta Corrente,1679.73,2021-07-28
AC85651769,Conta Digital,8942.49,2022-02-22
AC62587031,Conta Corrente,1092.39,2023-02-18
AC58997006,Conta Corrente,3075.9,2022-01-09
AC78262675,Conta Pagamento,2550.34,2021-11-22
AC86421536,Conta Pagamento,1733.56,2022-02-15
AC47822809,Conta PJ,18355.23,2023-02-26
AC89119828,Conta Digital,1765.47,2021-03-24
AC51374404,Conta PJ,9154.75,2022-04-21
AC88648952,Conta Pagamento,2661.86,2021-03-28
AC18267618,Conta Corrente,2230.73,2021-10-17
AC58280244,Conta Digital,1764.31,2021-07-10
AC53646656,Conta Corrente,10361.02,2023-10-27
AC32850875,Conta Corrente,8969.69,2022-02-11
AC86111147,Conta Pagamento,2600.5,2021-08-27
AC29329592,Conta Pagamento,7180.98,2023-02-04
AC23949481,Conta Pagamento,1640.32,2021-09-15
AC36059161,Conta Digital,3991.58,2022-07-11
AC39269233,Conta Pagamento,7738.46,2023-03-11
AC74391464,Conta Corrente,1593.94,2021-05-18
AC50596357,Conta Pagamento,681.3,2021-04-19
AC84226741,Conta Pagamento,9836.03,2022-09-17
AC18982923,Conta Pagamento,6808.01,2023-04-04
AC87146005,Conta Corrente,5468.42,2022-01-16
AC97040777,Conta Pagamento,8305.32,2023-10-01
AC66992061,Conta Corrente,1914.69,2021-12-26
AC72367670,Conta Digital,4034.99,2022-01-01
AC21621957,Conta Digital,7468.85,2022-03-25
AC61191608,Conta Pagamento,5454.64,2022-01-17
AC24786987,Conta Corrente,460.26,2021-04-16
AC59732959,Conta Pagamento,5755.81,2022-11-20
AC37084721,Conta Corrente,15944.85,2023-03-12
AC50888909,Conta Pagamento,3310.03,2022-01-11
AC77884249,Conta Corrente,719.09,2022-09-23
AC25372468,Conta Pagamento,723.87,2022-10-15
AC36259512,Conta Digital,1037.19,2021-03-03
AC15564956,Conta PJ,18443.34,2023-01-19
AC68731838,Conta Pagamento,9483.29,2022-04-10
AC37435284,Conta Digital,519.29,2022-02-19
AC16072077,Conta Corrente,13008.74,2023-08-13
AC97941435,Conta Digital,5190.01,2022-01-08
AC76253282,Conta PJ,10802.07,2023-06-23
AC91537847,Conta Corrente,5243.7,2023-02-07
AC59231555,Conta Corrente,115.54,2021-11-08
AC19722767,Conta Digital,1368.27,2021-08-06
AC64096019,Conta Digital,6665.41,2022-10-24
AC31814834,Conta Corrente,13507.04,2023-04-18
AC81518789,Conta Corrente,1185.56,2022-11-08
AC35014905,Conta Pagamento,372.83,2021-02-09
AC86252907,Conta Digital,3962.98,2022-06-25
AC27901798,Conta Corrente,7818.14,2022-08-20
AC24227513,Conta Pagamento,6478.67,2022-12-05
AC74566380,Conta Corrente,2927.67,2022-04-16
AC65218427,Conta Corrente,7461.61,2022-09-15
AC61837553,Conta Pagamento,4235.81,2022-07-04
AC35928805,Conta Corrente,8859.19,2022-11-18
AC76178042,Conta Corrente,1548.07,2022-01-09
AC14868859,Conta Digital,2992.74,2021-04-25
AC73275319,Conta Digital,2971.56,2022-10-12
AC83621268,Conta Corrente,7596.5,2022-10-04
AC28306366,Conta Corrente,3476.68,2022-05-02
AC78995594,Conta Pagamento,5288.32,2022-09-28
AC83856157,Conta Corrente,6171.1,2022-08-21
AC63296437,Conta Digital,16055.7,2023-04-03
AC76573668,Conta Digital,6276.04,2023-12-26
AC93995455,Conta Digital,7506.7,2022-06-10
AC93031026,Conta Digital,7608.66,2023-12-09
AC82610960,Conta PJ,605.99,2021-07-21
AC79332816,Conta PJ,2052.63,2021-06-01
AC86280313,Conta Corrente,1814.72,2023-03-15
AC45528322,Conta Corrente,3912.31,2022-10-14
AC64573552,Conta Digital,11783.65,2023-04-18
AC65230013,Conta Corrente,6674.12,2022-12-19
AC26380567,Conta Pagamento,14456.44,2023-02-03
AC19605074,Conta Pagamento,9732.76,2022-11-25
AC15211949,Conta Corrente,5647.61,2022-10-22
AC11854380,Conta Digital,6390.16,2023-11-05
AC47305539,Conta Digital,8143.67,2023-06-28
AC45602821,Conta PJ,3079.39,2022-09-13
AC96250983,Conta Digital,3429.21,2022-09-09
AC31568265,Conta Pagamento,2884.88,2022-08-18
AC45530152,Conta Pagamento,9394.58,2022-06-15
AC67208206,Conta Corrente,13148.82,2023-12-06
AC26307002,Conta Pagamento,6760.65,2023-11-23
AC24289507,Conta Digital,3640.07,2022-07-01
AC40715272,Conta Pagamento,5596.92,2023-03-28
AC43358068,Conta Corrente,15402.45,2023-12-16
AC50030661,Conta PJ,1050.47,2022-09-09
AC87468329,Conta Corrente,9219.15,2023-06-20
AC28171896,Conta Digital,6827.62,2023-03-14
AC11093404,Conta Digital,2215.98,2022-03-23
AC37514506,Conta Corrente,9467.55,2022-08-08
AC54213753,Conta Corrente,8842.05,2022-05-20
AC72314906,Conta Pagamento,2876.53,2021-11-10
AC24674451,Conta Pagamento,14035.9,2023-01-15
AC63245967,Conta Corrente,18663.9,2023-08-14
AC67998850,Conta Pagamento,18598.9,2023-06-08
AC38051481,Conta Corrente,3945.06,2022-06-13
AC76084538,Conta Digital,10554.89,2023-07-15
AC79308501,Conta Pagamento,12202.83,2023-01-20
AC24521676,Conta Corrente,6519.65,2023-10-02
AC89447156,Conta Corrente,128.72,2021-03-18
AC43685224,Conta Pagamento,10573.7,2023-04-24
AC34607371,Conta PJ,3508.58,2022-11-28
AC35340717,Conta Corrente,8147.53,2022-01-01
AC55870576,Conta Corrente,8190.44,2022-07-05
AC20737484,Conta Corrente,1935.75,2021-08-12
AC86552327,Conta PJ,4028.04,2022-09-28
AC44872607,Conta Pagamento,3514.67,2022-01-19
AC20706493,Conta Corrente,9054.13,2022-09-01
AC80781786,Conta Pagamento,8489.33,2022-04-01
AC53911460,Conta Pagamento,1136.07,2023-08-24
AC93641269,Conta Pagamento,3699.86,2023-05-14
AC10816844,Conta PJ,766.37,2022-02-18
AC75733564,Conta Corrente,2923.66,2021-10-24
AC44384176,Conta Corrente,2346.09,2021-01-24
AC39308655,Conta Pagamento,16212.57,2023-11-06
AC33245327,Conta Corrente,2015.64,2023-11-27
AC62257882,Conta Corrente,4867.14,2022-09-19
AC16726221,Conta Corrente,1603.8,2021-04-05
AC28166321,Conta Corrente,1463.03,2021-09-27
AC13236907,Conta Pagamento,16825.88,2023-05-02
AC22271368,Conta Pagamento,5396.38,2022-08-09
AC58093418,Conta Pagamento,16170.42,2023-01-07
AC20703488,Conta Pagamento,6104.37,2023-03-11
AC88676639,Conta PJ,626.74,2021-01-23
AC45434755,Conta Digital,13428.09,2023-05-19
AC16396007,Conta Pagamento,996.86,2021-05-10
AC81810326,Conta Corrente,8587.92,2022-01-25
AC88956811,Conta PJ,530.13,2022-11-18
AC74722850,Conta Corrente,2299.4,2023-04-03
AC40349451,Conta Pagamento,2238.13,2022-06-09
AC30974807,Conta Corrente,9332.47,2022-09-06
AC70484719,Conta Corrente,209.81,2021-09-08
AC50887267,Conta Corrente,6203.43,2023-04-19
AC81128163,Conta Digital,1488.82,2021-04-19
AC42295721,Conta Pagamento,1350.02,2021-02-09
AC93681651,Conta Corrente,1296.77,2021-09-04
AC68215016,Conta Digital,4131.3,2022-12-27
AC96677840,Conta Corrente,10544.07,2023-12-10
AC64768566,Conta Digital,1826.46,2021-11-08
AC36841616,Conta Digital,2733.76,2022-07-05
AC28552399,Conta Digital,8230.8,2022-06-16
AC15715019,Conta Digital,1986.07,2022-06-19
AC47606466,Conta Corrente,65.18,2021-11-06
AC20529111,Conta Pagamento,1870.89,2021-07-09
AC96687199,Conta Corrente,7693.84,2022-04-14
AC96983131,Conta Corrente,5322.91,2022-03-28
AC61319493,Conta Corrente,1821.67,2022-12-20
AC21707827,Conta Corrente,9122.57,2022-09-16
AC89155153,Conta PJ,9222.18,2022-10-26
AC99398653,Conta Corrente,3402.44,2022-04-03
AC41190820,Conta Corrente,9237.04,2022-07-15
AC59394190,Conta Digital,4562.77,2022-12-12
AC82826618,Conta PJ,8641.33,2022-02-27
AC71192398,Conta Corrente,7292.21,2022-07-27
AC32269906,Conta Digital,19301.97,2023-01-11
AC15629906,Conta Digital,525.35,2022-05-09
AC20436582,Conta Digital,1535.49,2021-06-13
AC67498676,Conta Pagamento,2196.42,2023-11-07
AC89068433,Conta PJ,5820.46,2022-03-15
AC11179447,Conta Corrente,186.7,2021-01-06
AC26001341,Conta Pagamento,5679.36,2022-12-24
AC94413630,Conta Digital,11614.33,2023-01-26
AC21308877,Conta Corrente,1454.28,2023-11-11
AC96855522,Conta Corrente,11974.38,2023-01-21
AC12506381,Conta Corrente,18012.79,2023-10-22
AC96393053,Conta Digital,7625.17,2022-04-23
AC60554295,Conta PJ,12061.92,2023-11-15
AC53988089,Conta Pagamento,9563.22,2022-05-15
AC68986792,Conta Corrente,493.37,2021-10-13
AC18731409,Conta Corrente,882.51,2021-10-07
AC83199968,Conta Corrente,9566.96,2023-02-10
AC81972118,Conta Corrente,2156.84,2023-09-23
AC71856130,Conta Corrente,1786.86,2022-03-13
AC72908807,Conta Pagamento,18037.9,2023-08-17
AC58800898,Conta PJ,6842.08,2023-07-06
AC69884176,Conta Corrente,7603.25,2023-09-10
AC90730817,Conta Corrente,13388.39,2023-12-18
AC48949861,Conta Digital,16703.89,2023-09-05
AC39963483,Conta Pagamento,3632.38,2022-11-05
AC95716311,Conta Pagamento,4288.23,2022-12-25
AC52466336,Conta Corrente,2557.43,2022-11-01
AC61373533,Conta Digital,19509.14,2023-04-12
AC52969946,Conta Digital,19552.63,2023-07-21
AC72513853,Conta Corrente,2167.14,2022-11-09
AC69171036,Conta PJ,1716.79,2022-05-20
AC32317980,Conta Pagamento,10285.69,2023-02-07
AC40251417,Conta Corrente,5855.66,2023-10-27
AC52672881,Conta Pagamento,2692.88,2021-01-03
AC62183689,Conta Pagamento,1325.15,2022-10-20
AC16937568,Conta PJ,2028.67,2021-05-14
AC42493803,Conta PJ,4643.21,2022-08-06
AC60862536,Conta Corrente,7396.45,2022-12-20
AC16906530,Conta Digital,5340.55,2022-10-03
AC36872468,Conta Corrente,2351.24,2021-07-25
AC54635631,Conta Pagamento,9917.46,2023-10-12
AC39054366,Conta PJ,8017.83,2022-12-28
AC77864614,Conta PJ,1462.62,2021-12-17
AC49562439,Conta Corrente,4743.01,2022-03-02
AC19472838,Conta Corrente,890.67,2022-07-24
AC93917270,Conta Pagamento,2922.59,2021-09-25
AC35860775,Conta Corrente,7604.31,2022-04-21
AC30932422,Conta Corrente,3943.14,2023-09-01
AC74538774,Conta PJ,7691.01,2022-10-04
AC73638122,Conta Pagamento,484.48,2021-03-24
AC56041458,Conta Pagamento,3946.54,2022-12-13
AC79114039,Conta Pagamento,5478.87,2022-05-25
AC18214171,Conta Pagamento,19751.49,2023-05-04
AC99905416,Conta Digital,17265.89,2023-05-22
AC78667005,Conta Pagamento,9571.48,2022-02-24
AC83991282,Conta Digital,8450.25,2022-12-07
AC65744434,Conta Pagamento,2069.37,2023-04-10
AC26823895,Conta Digital,4139.17,2023-04-11
AC97260827,Conta Corrente,7153.91,2023-10-24
AC11258922,Conta Corrente,315.27,2021-01-04
AC42250146,Conta Corrente,2524.7,2021-01-14
AC68519608,Conta PJ,6676.73,2022-09-05
AC51999711,Conta Corrente,4577.75,2022-04-10
AC47283399,Conta Corrente,18489.26,2023-10-19
AC60646268,Conta Digital,19997.56,2023-08-22
AC54554545,Conta Digital,2692.79,2022-04-21
AC58981864,Conta Digital,6482.74,2022-08-01
AC80286720,Conta Pagamento,1852.6,2021-03-13
AC22527977,Conta Pagamento,5347.73,2022-12-01
AC59221334,Conta Pagamento,639.71,2021-04-12
AC39085519,Conta Corrente,17316.19,2023-09-23
AC60405994,Conta Digital,473.6,2021-11-23
AC77647590,Conta Corrente,1442.44,2021-02-08
AC61911273,Conta Corrente,9373.93,2022-02-23
AC52875800,Conta Pagamento,3844.52,2022-04-22
AC77020660,Conta Pagamento,2443.05,2022-07-26
AC59539145,Conta PJ,1874.68,2022-04-07
AC96905986,Conta PJ,1174.04,2022-05-19
AC95983884,Conta Pagamento,11783.34,2023-04-23
AC49709943,Conta PJ,4842.13,2022-04-01
AC52786882,Conta Digital,6286.9,2022-12-05
AC81529289,Conta Corrente,9003.38,2022-01-03
AC68361039,Conta PJ,1278.28,2021-05-24
AC47025441,Conta Digital,13445.9,2023-01-02
AC17429154,Conta Digital,6391.0,2022-04-21
AC65710425,Conta Digital,15950.84,2023-11-26
AC85948010,Conta Corrente,9829.29,2022-04-18
AC80856791,Conta Corrente,7083.01,2022-08-02
AC97686004,Conta Digital,4871.07,2023-03-21
AC52414622,Conta Digital,2755.03,2021-08-28
AC78684896,Conta Pagamento,9459.3,2022-02-01
AC40672512,Conta Corrente,574.67,2022-08-23
AC48975223,Conta Digital,6640.82,2022-07-21
AC75934617,Conta Corrente,2274.32,2021-09-17
AC31851917,Conta Digital,6573.58,2022-01-03
AC73388048,Conta Corrente,8707.18,2022-07-04
AC91768111,Conta Digital,1952.75,2021-10-01
AC37398245,Conta Pagamento,4613.65,2022-09-05
AC34462201,Conta Pagamento,7317.94,2022-07-22
AC36467864,Conta Corrente,9252.09,2022-05-15
AC47938252,Conta Digital,5703.92,2022-09-07
AC37178460,Conta Digital,8715.55,2022-03-03
AC25393236,Conta PJ,2693.79,2022-07-17
AC24279668,Conta Pagamento,13456.67,2023-11-28
AC24342893,Conta Digital,13434.4,2023-06-25
AC36731652,Conta Digital,6571.91,2023-12-06
AC41998344,Conta Corrente,6762.19,2022-07-19
AC79445194,Conta Corrente,4079.88,2022-09-06
AC81499047,Conta Digital,19630.12,2023-09-21
AC18150972,Conta PJ,820.08,2022-08-05
AC22282101,Conta Pagamento,12719.66,2023-08-04
AC88655845,Conta Pagamento,9655.86,2022-02-24
AC97261597,Conta PJ,7841.19,2022-07-20
AC87341839,Conta Pagamento,7706.71,2023-08-21
AC26479368,Conta Corrente,3931.96,2022-04-02
AC66017990,Conta Pagamento,12548.96,2023-03-25
AC23109265,Conta Pagamento,526.58,2021-08-25
AC42352443,Conta PJ,3100.18,2023-03-19
AC32996873,Conta PJ,8179.8,2022-06-15
AC78071209,Conta Pagamento,3585.9,2022-09-26
AC34695687,Conta Corrente,5839.47,2022-01-11
AC65535949,Conta Corrente,2307.58,2021-11-13
AC57930983,Conta Pagamento,936.51,2021-01-08
AC46241387,Conta Pagamento,770.91,2022-09-26
AC50449545,Conta Corrente,5459.47,2023-12-27
AC61652306,Conta PJ,17778.76,2023-08-26
AC53465440,Conta Pagamento,2584.55,2021-11-13
AC84871041,Conta Corrente,15406.81,2023-05-28
AC40081755,Conta Corrente,9276.75,2022-06-18
AC11405562,Conta Digital,17129.17,2023-11-11
AC29529226,Conta Pagamento,9718.21,2022-08-14
AC50963218,Conta Digital,5987.57,2023-03-19
AC42004865,Conta Corrente,15513.45,2023-12-05
AC18542494,Conta Digital,1148.73,2023-08-08
AC92446321,Conta Corrente,240.25,2021-05-12
AC95323308,Conta Corrente,945.64,2022-11-11
AC98034351,Conta Corrente,593.64,2021-03-04
AC15377079,Conta Pagamento,16713.65,2023-05-26
AC55604088,Conta PJ,5474.92,2023-11-24
AC45772222,Conta Pagamento,12453.69,2023-04-26
AC31550102,Conta Corrente,4808.25,2022-10-28
AC21637844,Conta Digital,1855.59,2021-11-20
AC73636599,Conta Pagamento,2199.82,2022-08-25
AC19592812,Conta Corrente,2540.97,2021-08-14
AC73479717,Conta Pagamento,1084.84,2023-12-13
AC46710745,Conta Corrente,9408.87,2022-02-12
AC58105405,Conta Pagamento,1382.32,2021-02-20
AC21087246,Conta Pagamento,10362.47,2023-11-24
AC56573905,Conta Pagamento,4207.8,2022-11-21
AC42091118,Conta PJ,5346.97,2022-05-03
AC92700004,Conta Pagamento,161.24,2021-01-16
AC54515573,Conta Corrente,19119.82,2023-05-26
AC67131310,Conta Digital,8516.75,2023-06-14
AC17850159,Conta Pagamento,1549.33,2022-05-22
AC61637839,Conta Digital,3992.34,2022-09-05
AC92374377,Conta Pagamento,5239.09,2022-06-25
AC34665865,Conta Corrente,4309.39,2022-09-25
AC61096244,Conta Pagamento,2522.71,2023-04-26
AC56667973,Conta Corrente,7304.95,2022-06-08
AC19319752,Conta Pagamento,8823.6,2022-03-07
AC61801865,Conta Pagamento,2954.96,2021-10-06
AC39352715,Conta Corrente,1067.2,2021-08-26
AC98567990,Conta Corrente,18754.1,2023-08-22
AC16249521,Conta Digital,4573.05,2022-07-02
AC30590660,Conta Corrente,5185.93,2022-02-08
AC60864806,Conta Pagamento,693.06,2021-10-16
AC46606487,Conta Pagamento,8378.7,2022-08-23
AC83581868,Conta Pagamento,6058.28,2022-02-02
AC86364516,Conta PJ,19882.07,2023-09-14
AC12497058,Conta PJ,12601.75,2023-09-25
AC34535176,Conta Digital,1835.19,2021-04-02
AC32771811,Conta PJ,2610.78,2022-08-01
AC99803967,Conta Digital,2247.54,2021-04-11
AC96377007,Conta Corrente,9920.3,2022-08-03
AC69282661,Conta Corrente,7526.52,2022-09-06
AC15308637,Conta Pagamento,439.07,2021-08-12
AC57783415,Conta Pagamento,7197.97,2022-04-26
AC22918137,Conta Pagamento,4152.12,2022-11-08
AC75512722,Conta Pagamento,4002.89,2022-11-27
AC84822924,Conta Corrente,11377.4,2023-04-28
AC15681953,Conta Corrente,4313.51,2023-06-26
AC51442800,Conta Pagamento,2520.83,2021-05-01
AC35809040,Conta Pagamento,8846.18,2022-05-27
AC26935928,Conta Digital,1468.24,2021-04-04
AC20941911,Conta Pagamento,1838.27,2022-08-18
AC71610131,Conta PJ,5180.6,2022-11-17
AC18305331,Conta Pagamento,8309.08,2023-02-04
AC82550565,Conta Corrente,8523.65,2022-01-07
AC97801290,Conta Digital,694.19,2021-01-17
AC24338985,Conta Digital,6650.01,2022-06-18
AC10188914,Conta Pagamento,9195.48,2022-04-14
AC10702828,Conta Pagamento,4232.13,2023-05-01
AC88369120,Conta Digital,512.0,2021-12-13
AC23837970,Conta Pagamento,6207.79,2022-05-12
AC17805142,Conta Corrente,14495.57,2023-06-02
AC64668874,Conta Digital,5298.59,2022-11-27
AC19743811,Conta Pagamento,3426.33,2023-04-10
AC68984661,Conta Digital,19716.24,2023-04-13
AC51869939,Conta Corrente,8458.34,2022-08-20
AC38931461,Conta Pagamento,2056.1,2022-02-26
AC96831695,Conta Pagamento,1339.12,2021-06-06
AC81426113,Conta Digital,1682.82,2021-04-28
