num_conta,id_cliente
AC22613213,C00108
AC10995820,C00109
AC52779345,C00110
AC94380756,C00110
AC22075453,C00111
AC28502510,C00112
AC63432336,C00112
AC88175954,C00113
AC79942005,C00114
AC37016054,C00115
AC48561459,C00116
AC55237120,C00117
AC67462645,C00118
AC13848841,C00118
AC61645498,C00119
AC77265357,C00119
AC77226198,C00120
AC26419894,C00121
AC19317148,C00122
AC55301931,C00122
AC25178221,C00123
AC26558377,C00123
AC88685826,C00124
AC65753971,C00125
AC77090189,C00126
AC63010503,C00126
AC54920836,C00126
AC38317943,C00127
AC85651769,C00128
AC62587031,C00128
AC58997006,C00129
AC78262675,C00130
AC86421536,C00130
AC47822809,C00131
AC89119828,C00131
AC51374404,C00131
AC88648952,C00132
AC18267618,C00133
AC58280244,C00133
AC53646656,C00134
AC32850875,C00135
AC86111147,C00136
AC29329592,C00137
AC23949481,C00137
AC36059161,C00138
AC39269233,C00138
AC74391464,C00139
AC50596357,C00139
AC84226741,C00140
AC18982923,C00141
AC87146005,C00142
AC97040777,C00142
AC66992061,C00143
AC72367670,C00144
AC21621957,C00144
AC61191608,C00145
AC24786987,C00146
AC59732959,C00147
AC37084721,C00147
AC50888909,C00148
AC77884249,C00149
AC25372468,C00150
AC36259512,C00150
AC15564956,C00150
AC68731838,C00151
AC37435284,C00151
AC16072077,C00152
AC97941435,C00153
AC76253282,C00153
AC91537847,C00153
AC59231555,C00154
AC19722767,C00155
AC64096019,C00155
AC31814834,C00155
AC81518789,C00156
AC35014905,C00156
AC86252907,C00157
AC27901798,C00157
AC24227513,C00158
AC74566380,C00158
AC65218427,C00159
AC61837553,C00159
AC35928805,C00160
AC76178042,C00161
AC14868859,C00162
AC73275319,C00162
AC83621268,C00162
AC28306366,C00163
AC78995594,C00164
AC83856157,C00165
AC63296437,C00166
AC76573668,C00167
AC93995455,C00167
AC93031026,C00167
AC82610960,C00168
AC79332816,C00169
AC86280313,C00170
AC45528322,C00171
AC64573552,C00172
AC65230013,C00172
AC26380567,C00172
AC19605074,C00173
AC15211949,C00173
AC11854380,C00174
AC47305539,C00175
AC45602821,C00176
AC96250983,C00177
AC31568265,C00177
AC45530152,C00178
AC67208206,C00178
AC26307002,C00179
AC24289507,C00179
AC40715272,C00179
AC43358068,C00180
AC50030661,C00180
AC87468329,C00181
AC28171896,C00182
AC11093404,C00183
AC37514506,C00183
AC54213753,C00184
AC72314906,C00185
AC24674451,C00185
AC63245967,C00185
AC67998850,C00186
AC38051481,C00187
AC76084538,C00187
AC79308501,C00187
AC24521676,C00188
AC89447156,C00188
AC43685224,C00189
AC34607371,C00189
AC35340717,C00190
AC55870576,C00190
AC20737484,C00190
AC86552327,C00191
AC44872607,C00191
AC20706493,C00192
AC80781786,C00192
AC53911460,C00192
AC93641269,C00193
AC10816844,C00194
AC75733564,C00194
AC44384176,C00194
AC39308655,C00195
AC33245327,C00195
AC62257882,C00196
AC16726221,C00197
AC28166321,C00198
AC13236907,C00198
AC22271368,C00199
AC58093418,C00200
AC20703488,C00201
AC88676639,C00202
AC45434755,C00203
AC16396007,C00204
AC81810326,C00204
AC88956811,C00205
AC74722850,C00206
AC40349451,C00207
AC30974807,C00207
AC70484719,C00208
AC50887267,C00209
AC81128163,C00210
AC42295721,C00211
AC93681651,C00212
AC68215016,C00212
AC96677840,C00213
AC64768566,C00214
AC36841616,C00215
AC28552399,C00215
AC15715019,C00216
AC47606466,C00217
AC20529111,C00218
AC96687199,C00219
AC96983131,C00219
AC61319493,C00219
AC21707827,C00220
AC89155153,C00220
AC99398653,C00221
AC41190820,C00221
AC59394190,C00222
AC82826618,C00222
AC71192398,C00222
AC32269906,C00223
AC15629906,C00223
AC20436582,C00224
AC67498676,C00225
AC89068433,C00226
AC11179447,C00227
AC26001341,C00228
AC94413630,C00229
AC21308877,C00230
AC96855522,C00230
AC12506381,C00231
AC96393053,C00231
AC60554295,C00232
AC53988089,C00233
AC68986792,C00234
AC18731409,C00235
AC83199968,C00236
AC81972118,C00237
AC71856130,C00238
AC72908807,C00238
AC58800898,C00239
AC69884176,C00239
AC90730817,C00239
AC48949861,C00240
AC39963483,C00241
AC95716311,C00242
AC52466336,C00243
AC61373533,C00244
AC52969946,C00245
AC72513853,C00246
AC69171036,C00247
AC32317980,C00247
AC40251417,C00247
AC52672881,C00248
AC62183689,C00249
AC16937568,C00249
AC42493803,C00250
AC60862536,C00251
AC16906530,C00252
AC36872468,C00253
AC54635631,C00253
AC39054366,C00254
AC77864614,C00255
AC49562439,C00255
AC19472838,C00256
AC93917270,C00256
AC35860775,C00257
AC30932422,C00258
AC74538774,C00259
AC73638122,C00260
AC56041458,C00260
AC79114039,C00261
AC18214171,C00262
AC99905416,C00263
AC78667005,C00263
AC83991282,C00264
AC65744434,C00264
AC26823895,C00265
AC97260827,C00266
AC11258922,C00267
AC42250146,C00268
AC68519608,C00269
AC51999711,C00269
AC47283399,C00270
AC60646268,C00270
AC54554545,C00271
AC58981864,C00271
AC80286720,C00272
AC22527977,C00273
AC59221334,C00273
AC39085519,C00274
AC60405994,C00274
AC77647590,C00275
AC61911273,C00276
AC52875800,C00277
AC77020660,C00277
AC59539145,C00278
AC96905986,C00278
AC95983884,C00279
AC49709943,C00279
AC52786882,C00280
AC81529289,C00281
AC68361039,C00281
AC47025441,C00282
AC17429154,C00283
AC65710425,C00284
AC85948010,C00285
AC80856791,C00285
AC97686004,C00286
AC52414622,C00287
AC78684896,C00288
AC40672512,C00289
AC48975223,C00289
AC75934617,C00290
AC31851917,C00290
AC73388048,C00291
AC91768111,C00292
AC37398245,C00292
AC34462201,C00293
AC36467864,C00293
AC47938252,C00293
AC37178460,C00294
AC25393236,C00294
AC24279668,C00295
AC24342893,C00296
AC36731652,C00296
AC41998344,C00297
AC79445194,C00297
AC81499047,C00298
AC18150972,C00298
AC22282101,C00299
AC88655845,C00299
AC97261597,C00300
AC87341839,C00300
AC26479368,C00301
AC66017990,C00301
AC23109265,C00301
AC42352443,C00302
AC32996873,C00302
AC78071209,C00303
AC34695687,C00304
AC65535949,C00305
AC57930983,C00306
AC46241387,C00307
AC50449545,C00308
AC61652306,C00309
AC53465440,C00309
AC84871041,C00310
AC40081755,C00311
AC11405562,C00312
AC29529226,C00312
AC50963218,C00313
AC42004865,C00314
AC18542494,C00315
AC92446321,C00316
AC95323308,C00316
AC98034351,C00317
AC15377079,C00318
AC55604088,C00318
AC45772222,C00318
AC31550102,C00319
AC21637844,C00320
AC73636599,C00321
AC19592812,C00322
AC73479717,C00323
AC46710745,C00324
AC58105405,C00324
AC21087246,C00325
AC56573905,C00326
AC42091118,C00326
AC92700004,C00327
AC54515573,C00327
AC67131310,C00328
AC17850159,C00329
AC61637839,C00330
AC92374377,C00331
AC34665865,C00332
AC61096244,C00332
AC56667973,C00332
AC19319752,C00333
AC61801865,C00334
AC39352715,C00335
AC98567990,C00336
AC16249521,C00337
AC30590660,C00338
AC60864806,C00339
AC46606487,C00340
AC83581868,C00341
AC86364516,C00341
AC12497058,C00342
AC34535176,C00342
AC32771811,C00343
AC99803967,C00343
AC96377007,C00344
AC69282661,C00345
AC15308637,C00345
AC57783415,C00346
AC22918137,C00347
AC75512722,C00347
AC84822924,C00347
AC15681953,C00348
AC51442800,C00348
AC35809040,C00349
AC26935928,C00350
AC20941911,C00350
AC71610131,C00351
AC18305331,C00352
AC82550565,C00353
AC97801290,C00353
AC24338985,C00353
AC10188914,C00354
AC10702828,C00354
AC88369120,C00355
AC23837970,C00356
AC17805142,C00357
AC64668874,C00358
AC19743811,C00359
AC68984661,C00360
AC51869939,C00361
AC38931461,C00362
AC96831695,C00362
AC81426113,C00362
AC20354749,C00363
AC17229680,C00364
AC69102821,C00364
AC39152900,C00365
AC85843768,C00366
AC67041848,C00367
AC45848006,C00367
AC21786662,C00368
AC85185027,C00369
AC77841113,C00370
AC18661014,C00371
AC45912172,C00371
AC27434434,C00372
AC25113352,C00373
AC81347984,C00374
AC78399418,C00375
AC74905625,C00376
AC54967986,C00376
AC14244848,C00377
AC66039265,C00377
AC35403057,C00377
AC47866466,C00378
AC56498110,C00378
AC67761619,C00378
AC66787390,C00379
AC96278408,C00380
AC70667842,C00380
AC67038946,C00380
AC50714698,C00381
AC84446554,C00382
AC13604355,C00382
AC57743337,C00383
AC72625533,C00384
AC19507756,C00384
AC89156265,C00385
AC48489282,C00385
AC20175351,C00386
AC87488256,C00386
AC89158986,C00386
AC38235329,C00387
AC68034428,C00387
AC26652879,C00388
AC47033915,C00388
AC69526627,C00388
AC64810911,C00389
AC32787294,C00389
AC63973528,C00389
AC22294997,C00390
AC85122978,C00391
AC29322998,C00391
AC65121227,C00392
AC34824295,C00393
AC73074280,C00393
AC45348442,C00394
AC15754045,C00395
AC30086422,C00396
AC72315370,C00396
AC46615858,C00397
AC41284596,C00398
AC13577190,C00398
AC56586079,C00398
AC65548423,C00399
AC81508137,C00400
AC85473461,C00401
AC89087561,C00401
AC59018234,C00401
AC77030817,C00402
AC11313335,C00403
AC86955987,C00403
AC74332282,C00404
AC90610565,C00404
AC31920010,C00404
AC31427855,C00405
AC82145146,C00406
AC72115891,C00406
AC68772223,C00407
AC86716747,C00407
AC98376683,C00408
AC35797358,C00409
AC56106189,C00409
AC84935822,C00410
AC24970837,C00410
AC44455731,C00411
AC77648900,C00412
AC12718798,C00412
AC19905776,C00413
AC40904433,C00413
AC54291843,C00414
AC60478937,C00415
AC33678736,C00416
AC39972116,C00417
AC59625065,C00418
AC17607930,C00419
AC98445225,C00419
AC28326794,C00420
AC34976524,C00421
AC86489758,C00421
AC31624331,C00421
AC39725299,C00422
AC50849629,C00422
AC10960008,C00423
AC69180780,C00423
AC76790982,C00424
AC86729891,C00425
AC38440874,C00426
AC46021377,C00426
AC39247117,C00427
AC12167988,C00427
AC43212585,C00428
AC35992289,C00429
AC24172563,C00429
AC91739472,C00430
AC15806932,C00431
AC70274179,C00432
AC68609793,C00433
AC68020423,C00434
AC72486567,C00435
AC45101966,C00435
AC87261518,C00436
AC44430421,C00437
AC21272305,C00438
AC10379257,C00439
AC11301677,C00439
AC15195891,C00440
AC14368595,C00441
AC97124437,C00441
AC51285867,C00441
AC29215124,C00442
AC30467921,C00443
AC12412882,C00444
AC94430633,C00445
AC77560677,C00446
AC45981119,C00446
AC17634672,C00447
AC18071156,C00448
AC43962285,C00448
AC46867946,C00448
AC52620227,C00449
AC91291041,C00449
AC78975750,C00449
AC19244666,C00450
AC20649764,C00450
AC21396370,C00451
AC63405542,C00452
AC45057786,C00452
AC11562520,C00453
AC68687263,C00453
AC19870425,C00454
AC78928498,C00455
AC80815590,C00455
AC89519132,C00456
AC27555397,C00457
AC54306999,C00458
AC89014633,C00458
AC25127774,C00459
AC20476026,C00460
AC94926190,C00461
AC15143623,C00462
AC34170131,C00463
AC84092348,C00463
AC61676670,C00464
AC85177181,C00465
AC25979354,C00465
AC57691595,C00466
AC54201443,C00467
AC42089423,C00468
AC51845069,C00469
AC66693245,C00470
AC44620125,C00470
AC85504042,C00471
AC45475049,C00472
AC73029087,C00473
AC24466873,C00473
AC17270510,C00474
AC61429983,C00475
AC88573155,C00476
AC48907471,C00476
AC57606318,C00477
AC65890961,C00478
AC94014254,C00479
AC22704024,C00480
AC84052976,C00481
AC67071177,C00482
AC31989960,C00482
AC92897908,C00483
AC34345698,C00483
AC24047765,C00484
AC76044381,C00485
AC42069091,C00486
AC61478067,C00486
AC99741167,C00486
AC26292179,C00487
AC82540572,C00488
AC98841009,C00489
AC59459018,C00490
AC44765748,C00491
AC33614431,C00491
AC77633440,C00492
AC64053586,C00493
AC25856218,C00494
AC59680782,C00495
AC19057750,C00496
AC47823637,C00497
AC14872870,C00498
AC51645557,C00499
AC28304852,C00500
AC33176681,C00501
AC49277604,C00502
AC34513150,C00502
AC45012782,C00502
AC90604514,C00503
AC98825784,C00503
AC41478071,C00504
AC13136247,C00504
AC52679949,C00505
AC23668491,C00506
AC31429240,C00507
AC14938522,C00508
AC75953632,C00509
AC23037655,C00509
AC56242975,C00509
AC93352348,C00510
AC27293548,C00511
AC96471640,C00511
AC55669244,C00512
AC65313766,C00513
AC38017499,C00514
AC22108067,C00514
AC51842823,C00515
AC11974908,C00516
AC49149768,C00517
AC45350787,C00517
AC65348604,C00518
AC34035864,C00519
AC56546743,C00520
AC15355921,C00520
AC92538732,C00521
AC97980924,C00522
AC29285581,C00523
AC10128653,C00524
AC39335088,C00525
AC72891464,C00525
AC17671190,C00526
AC36573276,C00526
AC67983424,C00526
AC87691285,C00527
AC64575559,C00528
AC93345678,C00529
AC44740249,C00530
AC54707742,C00531
AC30688509,C00531
AC10818967,C00532
AC94628095,C00532
AC75222858,C00533
AC47039457,C00533
AC94309574,C00534
AC69085984,C00534
AC60990584,C00535
AC99847868,C00535
AC20498979,C00536
AC66255490,C00537
AC98474851,C00538
AC81798802,C00539
AC63989207,C00539
AC77631045,C00540
AC39951484,C00540
AC16613078,C00541
AC18581945,C00542
AC18804028,C00543
AC52977203,C00544
AC58921627,C00544
AC31233570,C00545
AC90977375,C00545
AC68428280,C00546
AC39325548,C00546
AC34964598,C00547
AC48964937,C00548
AC57397062,C00549
AC30600079,C00550
AC57237465,C00550
AC80704669,C00551
AC48980365,C00552
AC16292036,C00553
AC11793831,C00553
AC70467593,C00553
AC29180673,C00554
AC23918895,C00554
AC11040326,C00555
AC14547936,C00555
AC63585732,C00555
AC79232171,C00556
AC26821189,C00557
AC20882437,C00558
AC24151717,C00559
AC73286083,C00559
AC16665809,C00560
AC54626270,C00560
AC67491663,C00561
AC90365304,C00561
AC79131284,C00561
AC45053960,C00562
AC39607074,C00562
AC18426164,C00563
AC69232191,C00563
AC41134076,C00564
AC54917424,C00564
AC36739053,C00565
AC30105340,C00566
AC37884436,C00566
AC29838059,C00567
AC48515954,C00567
AC26887588,C00568
AC88430754,C00568
AC95736510,C00569
AC60199071,C00569
AC93437975,C00570
AC14739218,C00570
AC92892964,C00571
AC89822048,C00572
AC21830111,C00573
AC31184726,C00574
AC49798203,C00574
AC92959983,C00575
AC70524485,C00576
AC26584825,C00577
AC64941453,C00578
AC83855492,C00579
AC72503205,C00580
AC54316437,C00580
AC51821515,C00581
AC21134239,C00582
AC42543342,C00583
AC95711018,C00584
AC59129740,C00584
AC47722432,C00585
AC89479847,C00586
AC37766539,C00587
AC29752713,C00587
AC27830532,C00587
AC89091382,C00588
AC59270221,C00588
AC96601970,C00589
AC83021578,C00589
AC11193033,C00590
AC70994920,C00590
AC62817141,C00591
AC57676915,C00591
AC10742356,C00591
AC67333961,C00592
AC64136285,C00593
AC98105660,C00594
AC13412356,C00595
AC65465181,C00596
AC33790418,C00597
AC13965266,C00597
AC96294716,C00598
AC77085015,C00598
AC60268823,C00599
AC55754558,C00600
AC85364415,C00601
AC80354575,C00601
AC95566328,C00601
AC53959476,C00602
AC92413964,C00602
AC73122653,C00603
AC75368760,C00603
AC40760872,C00603
AC69082119,C00604
AC73363657,C00605
AC24053926,C00605
AC25439498,C00606
AC86392819,C00606
AC53061625,C00607
AC70075831,C00607
AC67033273,C00608
AC96741605,C00609
AC42455181,C00610
AC92011465,C00611
AC78490595,C00612
AC48691258,C00612
AC36409025,C00613
AC15253922,C00614
AC34929810,C00614
AC22558763,C00615
AC47161770,C00615
AC60318833,C00616
AC95041115,C00616
AC38082014,C00617
AC17425798,C00618
AC33453002,C00618
AC50420426,C00618
AC83438441,C00619
AC68931082,C00619
AC12873345,C00619
AC45275762,C00620
AC25442633,C00620
AC90243628,C00620
AC28312100,C00621
AC34661160,C00622
AC86766671,C00622
AC54970734,C00623
AC64632571,C00623
AC13743644,C00624
AC41029472,C00624
AC56268280,C00625
AC64506772,C00625
AC50464114,C00626
AC46636145,C00627
AC76618650,C00628
AC24322376,C00629
AC70253459,C00629
AC55395438,C00630
AC59986756,C00630
AC26257542,C00631
AC26923805,C00632
AC65022227,C00632
AC29287696,C00633
AC27481030,C00634
AC24137048,C00635
AC20839369,C00635
AC83072524,C00636
AC14167906,C00636
AC90650596,C00637
AC56364020,C00637
AC22071020,C00638
AC53490146,C00638
AC54611286,C00639
AC65303719,C00640
AC13224807,C00641
AC33588134,C00642
AC46135636,C00642
AC24857933,C00643
AC45287881,C00644
AC78556282,C00644
AC77322074,C00645
AC78337856,C00646
AC63733563,C00646
AC23722183,C00647
AC40743091,C00648
AC95909603,C00649
AC73566610,C00650
AC59375657,C00650
AC93198249,C00650
AC85260251,C00651
AC49672438,C00651
AC36111587,C00652
AC66854254,C00653
AC88985955,C00654
AC59221196,C00655
AC29642690,C00656
AC68309825,C00657
AC27712025,C00658
AC16337344,C00658
AC43645880,C00659
AC48128271,C00659
AC76528769,C00660
AC36328517,C00661
AC69826877,C00662
AC42675781,C00663
AC15476002,C00664
AC89552392,C00665
AC44271369,C00665
AC49964772,C00666
AC62453263,C00667
AC56228180,C00667
AC82662761,C00668
AC54807476,C00668
AC91495848,C00669
AC73833091,C00670
AC32800019,C00670
AC31615137,C00670
AC75770172,C00671
AC97548700,C00671
AC79975310,C00672
AC46250346,C00673
AC31032398,C00674
AC62817825,C00674
AC89900938,C00675
AC59630307,C00676
AC88823218,C00676
AC95984753,C00677
AC53838023,C00678
AC41602425,C00679
AC28519339,C00680
AC55217621,C00680
AC11597755,C00681
AC96528809,C00681
AC53026695,C00682
AC75993406,C00683
AC43263524,C00683
AC54067151,C00683
AC67592223,C00684
AC47149535,C00685
AC64341717,C00686
AC81271882,C00686
AC65384039,C00687
AC98933827,C00688
AC82326963,C00689
AC45322716,C00690
AC42670512,C00691
AC80781769,C00691
AC96151952,C00691
AC88090080,C00692
AC89368716,C00693
AC80419692,C00694
AC11301782,C00694
AC82621834,C00694
AC36353736,C00695
AC92117787,C00695
AC63587363,C00696
AC27101569,C00697
AC79999212,C00697
AC67557954,C00698
AC75936374,C00698
AC58130535,C00699
AC67016646,C00699
AC45719338,C00699
AC96695298,C00700
AC10078718,C00701
AC46095880,C00702
AC26936720,C00703
AC28129276,C00703
AC44177679,C00704
AC82052208,C00704
AC64181175,C00705
AC14738338,C00706
AC70180897,C00706
AC90228220,C00707
AC77788683,C00707
AC95294811,C00707
AC54575727,C00708
AC75244050,C00709
AC30738190,C00709
AC48401839,C00710
AC47880309,C00710
AC79077285,C00711
AC21053086,C00712
AC86373021,C00713
AC85327549,C00713
AC68411485,C00714
AC75532277,C00714
AC49280973,C00715
AC77868493,C00715
AC54042717,C00716
AC20607044,C00716
AC62507532,C00717
AC60596151,C00717
AC51761828,C00717
AC98916889,C00718
AC70551434,C00718
AC42797217,C00719
AC52989969,C00719
AC30234108,C00720
AC31868276,C00721
AC38782680,C00721
AC58096367,C00722
AC34018710,C00723
AC79358390,C00724
AC79815328,C00725
AC92570106,C00726
AC74671836,C00727
AC73003496,C00728
AC79660026,C00729
AC30654664,C00730
AC24898304,C00731
AC99562447,C00732
AC36277570,C00733
AC24592670,C00733
AC57529556,C00734
AC55255157,C00735
AC17756979,C00736
AC59643501,C00736
AC57134837,C00737
AC43152440,C00738
AC32952952,C00738
AC53825885,C00739
AC53660177,C00739
AC47644393,C00740
AC22200062,C00741
AC46650558,C00742
AC55787706,C00742
AC52476732,C00743
AC49132537,C00744
AC43839179,C00744
AC74549453,C00745
AC65841183,C00745
AC22075377,C00746
AC83063896,C00747
AC45542084,C00748
AC72106924,C00749
AC13874383,C00749
AC23808210,C00750
AC45918469,C00751
AC76738033,C00752
AC20298914,C00753
AC89726643,C00753
AC38831523,C00754
AC95955963,C00754
AC25559778,C00754
AC13338501,C00755
AC30186931,C00756
AC27755331,C00756
AC93059021,C00757
AC13370204,C00757
AC86060686,C00758
AC55987661,C00758
AC54460725,C00759
AC39926035,C00760
AC57408039,C00761
AC78970084,C00762
AC74756620,C00763
AC85374345,C00763
AC53912742,C00764
AC84625453,C00765
AC75051200,C00766
AC24927593,C00766
AC91080272,C00767
AC28567728,C00768
AC41997674,C00769
AC54586908,C00770
AC31108649,C00770
AC37006674,C00771
AC23959058,C00772
AC41518840,C00773
AC12769321,C00774
AC10259652,C00774
AC79820937,C00775
AC16151799,C00775
AC43211727,C00776
AC57722509,C00777
AC97824369,C00777
AC40363647,C00777
AC45979267,C00778
AC76221169,C00778
AC27124502,C00778
AC46184887,C00779
AC85899475,C00780
AC69271321,C00780
AC42241373,C00781
AC14558439,C00782
AC22722241,C00782
AC50499484,C00782
AC91682183,C00783
AC11418409,C00783
AC71434009,C00783
AC22272558,C00784
AC31183508,C00785
AC47670515,C00785
AC30280395,C00786
AC26819964,C00787
AC73181196,C00788
AC59843236,C00788
AC42271884,C00789
AC94786422,C00789
AC18527274,C00789
AC35626424,C00790
AC15629782,C00790
AC33382043,C00790
AC67828321,C00791
AC54388186,C00791
AC63740016,C00792
AC88175862,C00793
AC86349842,C00794
AC29460652,C00795
AC43299799,C00796
AC53817933,C00797
AC52212207,C00798
AC84411241,C00799
AC63150203,C00799
AC11476571,C00799
AC32007147,C00800
AC52459029,C00800
AC98051333,C00801
AC68540836,C00801
AC96757589,C00802
AC47344122,C00802
AC69976659,C00803
AC62392441,C00803
AC57545349,C00804
AC19635298,C00804
AC98024832,C00805
AC42329907,C00805
AC65183058,C00805
AC87457011,C00806
AC33946877,C00807
AC58938833,C00807
AC75714445,C00808
AC46232686,C00808
AC33573160,C00809
AC99790202,C00810
AC40885871,C00811
AC55167769,C00812
AC28241950,C00813
AC97990387,C00814
AC51169285,C00814
AC30737976,C00815
AC54832936,C00816
AC56288241,C00817
AC44698201,C00817
AC80249953,C00818
AC78303627,C00819
AC56721054,C00820
AC97748875,C00821
AC30442102,C00822
AC29409969,C00823
AC42415309,C00823
AC59032869,C00824
AC74719965,C00825
AC16282736,C00825
AC19514343,C00826
AC59587668,C00827
AC31736717,C00827
AC23051419,C00827
AC34384314,C00828
AC80217195,C00829
AC38381048,C00830
AC99229982,C00830
AC30502018,C00831
AC47046819,C00831
AC39066007,C00831
AC89529623,C00832
AC76554470,C00833
AC27206957,C00833
AC88146680,C00834
AC98058901,C00834
AC49499543,C00835
AC92832159,C00836
AC20072302,C00836
AC90159764,C00837
AC82940502,C00838
AC75357359,C00839
AC36614756,C00840
AC97207371,C00841
AC34263945,C00842
AC31041096,C00843
AC87806461,C00843
AC62114376,C00844
AC14265479,C00844
AC75940374,C00845
AC83429806,C00846
AC40313662,C00847
AC54467680,C00848
AC55312529,C00849
AC94751390,C00850
AC78054887,C00851
AC93779683,C00852
AC30833900,C00853
AC73998215,C00854
AC14484730,C00855
AC90006317,C00856
AC16593750,C00857
AC30829544,C00858
AC66873104,C00859
AC88780792,C00860
AC86115799,C00861
AC28361852,C00862
AC53102127,C00863
AC70708189,C00863
AC64385165,C00864
AC55438224,C00865
AC88018356,C00865
AC26684858,C00866
AC96367441,C00867
AC87746861,C00867
AC96517060,C00867
AC88394301,C00868
AC95838309,C00869
AC79686861,C00869
AC24780097,C00870
AC97141541,C00871
AC78848029,C00871
AC71845075,C00872
AC60744024,C00872
AC74470298,C00873
AC87585387,C00873
AC38410819,C00873
AC35283128,C00874
AC74386633,C00875
AC63701626,C00876
AC25029629,C00877
AC14262939,C00877
AC23824353,C00878
AC50299296,C00878
AC25303619,C00879
AC76136118,C00879
AC69531311,C00880
AC73047953,C00880
AC99085449,C00880
AC97907509,C00881
AC80680600,C00881
AC82509730,C00882
AC41251966,C00883
AC45883401,C00884
AC52209707,C00885
AC84804072,C00886
AC11835938,C00887
AC46724741,C00888
AC67961358,C00889
AC87760494,C00890
AC12319921,C00890
AC22652765,C00891
AC84320164,C00891
AC68617516,C00892
AC10867980,C00892
AC40722224,C00893
AC26918936,C00894
AC31403064,C00895
AC29950080,C00896
AC62379247,C00896
AC71057251,C00896
AC90462164,C00897
AC87416882,C00897
AC91512817,C00897
AC61384737,C00898
AC64616447,C00899
AC49251494,C00900
AC28350448,C00901
AC36403045,C00901
AC24295823,C00902
AC96696699,C00902
AC43297020,C00903
AC58993630,C00904
AC86827259,C00904
AC26952635,C00905
AC35566128,C00906
AC23019652,C00906
AC12115217,C00907
AC31825091,C00907
AC57934606,C00908
AC99916543,C00908
AC63708529,C00909
AC93727173,C00910
AC37971112,C00910
AC95051912,C00911
AC67588413,C00911
AC43768009,C00912
AC57798138,C00912
AC65617920,C00913
AC92017019,C00913
AC85917178,C00914
AC67893049,C00915
AC63940992,C00915
AC13186836,C00916
AC63967811,C00916
AC48120713,C00917
AC18741880,C00918
AC75513124,C00918
AC52387260,C00919
AC47286356,C00919
AC15258226,C00920
AC99483023,C00920
AC82000221,C00921
AC37968094,C00921
AC50620843,C00922
AC29909210,C00923
AC33289424,C00924
AC91607592,C00925
AC59740745,C00926
